"title","link","text","date","Source"
"中共建政70年<U+95B2>兵創紀錄 全程80分鐘、飛機160架","/news/story/7331/4065866","中共建政70周年<U+95B2>兵活動安排出爐，<U+95B2>兵領導小組稱，這次<U+95B2>兵編59個方(梯)隊和聯合軍樂團，總規模約1.5萬人，各型飛機160餘架、裝備580台套、閱兵時程80分鐘，是近幾次<U+95B2>兵中規模最大的一次。
中新網報導，中共建政70周年<U+95B2>兵領導小組辦公室副主任、中央軍委聯合參謀部作戰局副局長蔡志軍表示，<U+95B2>兵活動按<U+95B2>兵式、分列式兩個步驟進行，時長約80分鐘。
他指出，<U+95B2>兵式，受<U+95B2>部隊在長安街列陣，接受中共中央總書記、中國國家主席、中央軍委主席習近平的檢<U+95B2>。分列式，依次按空中護旗梯隊、徒步方隊、裝備方隊、空中梯隊的順序通過天安門廣場。
蔡志軍介紹，這次<U+95B2>兵編59個方(梯)隊和聯合軍樂團，總規模約1.5萬人，各型飛機160餘架、裝備580台套，是近幾次<U+95B2>兵中規模最大的一次。
談及這次<U+95B2>兵的特點，蔡志軍指出，「聽黨指揮的政治意蘊十分鮮明」，<U+95B2>兵通過三軍列陣受<U+95B2>、莊嚴致敬、鏗鏘宣示、方隊行進等形式，宣示堅持黨對軍隊<U+7D76>對領導的不變軍魂，宣示堅決聽從黨中央、中央軍委和習主席指揮的堅強意志。
他還指出，這次閱兵也是中國國防和軍隊建設的最新成就集中體現，安排陸軍、海軍、空軍、火箭軍和戰略支援部隊部分新型武器裝備受<U+95B2>，集中展示70年來國防科技工業發展水平和軍隊建設巨大變化，繼朱日和沙場<U+95B2>兵和海上專項<U+95B2>兵後，首次亮相的新型武器裝備比重較高。中共今年將舉行建政70年大閱兵。圖為2009年的十一閱兵。美聯社分享  facebook",2019-09-24,"udn"
"中共建政70週年維穩 紐時記者遭驅離住處","/news/story/7331/4066085","中共將在10月1日舉行建政70週年慶典，為因應閱兵演練與種種維穩因素，北京自9月起如臨大敵，連紐約時報記者都被要求暫時離開住處。 歐新社分享  facebook   
中共將在10月1日舉行建政70週年慶典。為因應閱兵演練與種種維穩因素，北京自9月起如臨大敵，連居住在長安街附近的紐約時報記者，都被要求暫時離開住處，將有武警進駐4天。
紐約時報中文網24日刊登記者赫海威（Javier C．Hernandez）發自北京的「國慶前的北京：我拉上窗簾，迎接習近平的大閱兵」一文。
赫海威在文中提到，他居住的街區距離天安門廣場和故宮不遠，自9月初以來，當局封鎖附近道路，網速也變得極為緩慢，「每次進公寓樓，保安都會對我搜身檢查，早晚都是如此」。
除此之外，警方還實施了宵禁，要求居民下午5時前回家，晚間8時前關上窗戶並拉好窗簾。警察則聚集在附近的屋頂上，搭起帳篷，用雙筒望遠鏡觀察周圍，並會睡在公寓的通道，確保民眾遵守這些規定。
赫海威表示，他一度遭到警方登門檢查是否拉上窗簾，隨後更被告知必須離開住處，武警將進駐4天。
「過去四年來，作為一名駐京美國記者，我習慣了繁瑣的簽證規定、機場的麻煩以及在農村的隨意扣留，但我還從未遇到過警察霸占我家的情況」。
他說，他的腦海不禁浮現出「一群警察躺在沙發上發著牢騷，整夜抽著菸，仔細翻閱著那些關於異見人士的藝術作品和美國政治的書籍」。
赫海威也提到，北京已在很多地區禁止放風箏、無人機、氣球和圈養鴿子；同時，炸彈嗅探犬在購物中心巡邏，警察和軍官在街角站崗，X光安檢儀和金屬探測器守護著沿閱兵路線的住宅、商店和酒店的入口。
他表示，即便按照威權政府的標準衡量，這次管制舉措也很嚴格。「但即便如此，我的許多中國朋友對此漠不關心，甚至感到自豪」。
有大學生對他說，中國現在躋身世界前列，並會越來越強大，超過美國；一名外賣小哥則認為「中國需要更好地保護自己」。
赫海威分析，閱兵式前夕，北京陷入一種極度躁動的狀態，這番力量的展示旨在向美國及其他國家表明，中國及其領導人習近平，比以往任何時候都更堅不可摧。
但他認為，官方正在引領著一場比往常範圍更廣的安保鎮壓行動，這或許反映出在香港的動亂持續發酵之際，中共內部對社會穩定受到威脅的擔憂。",2019-09-24,"udn"
"共軍發言人憶70年前 中共軍機只有17架","/news/story/7331/4066232","中國大陸國防部新聞局局長、新聞發言人吳謙今日有感而發地表示，「70年前，在開國大典的閱兵上，當時我們的飛機不夠，只有17架，周總理說：飛機不夠，我們就飛兩遍。」如今，中國大陸已國富兵強，飛機不用再飛第二遍了。
24日「慶祝中華人民共和國成立70周年活動第一場專題集體採訪活動」在北京舉行，吳謙出席並回應媒體提問。
被問及如何評價空中梯隊演練、是否還會組織類似彩排時，他指出，對於下一步演練安排不做「劇透」，隨後又有感觸地表示，「你這個問題，讓我想起了媒體曾經報導過的一個故事，也是關於閱兵和飛機的。」
吳謙表示，70年前，在建政當日的閱兵式上，當時大陸的飛機不夠，僅有17架。時任的總理周恩來表示，「飛機不夠，我們就飛兩遍」。
吳謙接著說，「70年，彈指一揮間。新時代的中國，早已是山河無恙、國富兵強，我們的飛機再也不用飛第二遍了。此時此刻，我們足以告慰先烈：這盛世，如您所願。」中國大陸國防部新聞局局長、新聞發言人吳謙。圖／取自澎湃新聞分享  facebook",2019-09-24,"udn"
"香港特首要對話 民陣要示威","/news/story/120538/4066218","

林鄭月娥周二(9月24日)對外界表示，已經有逾2萬人申請參加9月26日晚上在灣仔舉行的首場""社區對話""活動。而實際能參加的名額只有150人，相當於每個名額有135人爭奪。具體誰能參加，則將抽簽決定。


這也將是香港""反修例運動""爆<U+53D1>以來，特區政府首次試圖與民眾展開對話。林鄭月娥強調，這項活動旨在讓立場各異的民眾聲音得到傾聽。


不過，也有不少示威者表示，他們的訴求早已明確，因此對政府舉辦的對話活動不感興趣。


對話活動將在灣仔的伊麗莎白體育館舉行。附近多所中小學擔心，屆時會<U+53D1>生示威、堵路等事件，因此做出周四下午提前放學的安排。特區政府則已經表示，雨傘、頭盔、防毒面具等示威者常用裝備將不被允許帶入現場。林鄭月娥說，她希望社區對話活動能夠在和平、理性的環境中進行。


港區全國政協代表、全國港澳研究會副會長劉兆佳在接受香港電台采訪時指出，港府此次舉辦對話活動，具備一定的象征意義，旨在顯示政府回復正常工作、積極管治，同時也希望爭取中間派、溫和派人士，讓他們轉向理解港府、減少對示威運動的支持。不過，劉兆佳並不認為""社區對話""能夠改變""勇武派""的看法。




而在一星期後的10月1日，即中國國慶日，民間人權陣線(""民陣"")計劃舉行一場從維園道遮打道的大游行。""民陣""已經在9月23日晚間公布了行動計劃，游行的主題將是""沒有國慶、只有國殤""。此外，本周六(9月28日)，""民陣""也計劃在金鐘添馬公園舉行集會活動，幾年佔中運動5周年，集會主題將是""反抗威權、迎接黎明""。


在連登討論區、臉書等社交媒體上，已經有網民表示，如果警方不批准""民陣""計劃的示威活動，就會在10月1日推動自<U+53D1>的""九龍大閱兵""，呼籲全民自<U+53D1>游走九龍地區。


人權組織""大赦國際""日前也<U+53D1>布報告，批評香港的言論與集會自由進一步受限。該組織德國分部總干事貝科(Markus Beeko)指出，這一進程在2014年佔中運動期間就已開始，今年夏天港府粗暴對待示威者，則是這一進程的又一高峰。""人權觀察""認為，香港的人權保護正在被港府以及中央政府不斷侵蝕，香港民眾踐行權利的行為，越來越被北京方面認作對中國國家安全與主權的攻擊。題為""北京在香港的紅線""之報告，收集了眾多記者、維權人士、學者、律師、非政府組織的證詞，還分析了一些法庭文書、媒體報道、圖片與視頻內容。報告指出，許多活躍人士以及非政府組織職員都遭到了辱罵，批判性的聲音遭到""審查、跟蹤、威脅""。""人權觀察""呼籲，特區政府必須停止出於政治動機而去檢控和平示威者。
【 本文章由德國之聲授權提供】",2019-09-24,"udn"
"中國國慶期公廁也維穩 20萬朝陽群眾出動","/news/story/7331/4066076","10月1日是中共建政70年國慶，外媒報導，北京在剛過去的週末假期進行國慶慶典全流程演練，街頭再次出現最嚴苛的維穩控制，除了常規的封、禁、查、驗，也對重點區域公廁實施嚴管。
美國自由亞洲電台23日在報導中引述北京市民趙先生說，在剛過去的週末假期，由週六（21日）下午一直到週一（23日）凌晨，北京方面至少出動30多萬人，在天安門地區和長安街沿線進行國慶70週年慶祝活動全流程演練。
據報導，北京之前常設、總數約20萬的民間維穩力量「朝陽群眾」則已經在街頭全面部署，特別是天安門和長安街周邊，甚至連公廁也成為須查驗身份之處；但目前不清楚這種公廁檢查是否會在北京全市範圍內實施。
報導引述當地媒體人指出，官方擔心具有最後隱私空間的廁所被人利用作為搞破壞的地方。據指出，這也是自2015年大閱兵期間北京實施公廁管控之後，再一次作出公廁維穩。
據透露，隨著70週年國慶臨近，官方已經開始全面清理「不適合」留在北京的人員，據指包括一些活躍的左派人士也在壓力之下自行離京。
另有來自湖南和四川的消息顯示，除北京酒店管控、快遞管控、停工停業之外，中國大陸各地都已全面嚴查進京人員，曾有上訪紀錄和「被喝茶」的人士，都不能前往北京方向。
石家莊的孫先生證實，他自己由於曾發布具有自由主義傾向的言論，也被禁止前往北京，甚至被禁止前往北方。",2019-09-24,"udn"
"直擊陸「十一」閱兵訓練 「千人一條心、千足一個音」","/news/story/7331/4067676","

大陸即將在10月1日舉行近年最大一次的閱兵。「建國70閱兵指揮部」今天（25日）上午邀請境外媒體赴北京昌平南口閱兵村採訪徒步方隊官兵訓練情況。多人皮膚曬黑、腳磨破仍在烈日下練習。
閱兵訓練基地徒步方隊指揮部副指揮員劉士胥說，各個方隊務必要達到「千人一條心、千足一個音」的要求，方隊要突出應答聲和腳步聲。單排面達到頭線、手線、槍線、腿線、胸線、帽線的六線合一，方隊達到橫線、豎線和斜線分明的要求。腳掌落地聲要沉穩有力，答詞和口號要整齊清晰，有旋律、有氣勢。
訓練官兵受訪時表示，他們一周訓練五天，每天八小時，是高溫和體力的考驗，主要練習正步、掛槍、端槍姿勢，訓練腰腹肌、腿部力量。許多人練到手腳抽筋，腳底出水泡。還有人手抽筋，動不了，要靠隊友協助才能拿下槍。
這次閱兵有六十名女兵加入三軍儀仗隊的混編受閱，三軍儀仗隊是走第一個方隊，目標最顯著。而參加的女兵還要經過篩選才能成為正取，競爭激烈，每個人都很認真練習，即使休息時間仍自動留下來再練。
四年前曾參加抗戰勝利七十年閱兵、今年又參加閱兵的儀仗隊第四中隊長趙穎說，她們與男兵的訓練要求和標準是一樣的。
她說，四年前她是一名戰士，對自身的要求高，今年她身為主官更注重對隊員的管理和思想要求，並提供隊員的後勤保障，有的女隊員因為訓練比較著急出現情緒化，她都會以過來人全力安撫，務必要讓隊員們克服各種困難，呈現女軍人的風采。
也許有了上次的經驗，上回腳底磨破皮的趙穎，今年儘管也穿壞了鞋子，但這回腳沒破皮了。
趙穎的儀仗隊平時負責外國元首來訪或重要軍事首長視察時的迎接任務。她說，平時的任務與閱兵還是不一樣的。閱兵因為參加人數多，講究整齊劃一，要求更嚴格，能參加閱兵的姑娘們都備感光榮。大陸十一舉行近年最大一次閱兵，在閱兵村內的三軍儀仗隊參演官兵正積極練習。圖為女兵練習腳線一致。特派記者陳言喬／攝影分享  facebook   大陸十一舉行近年最大一次閱兵，在閱兵村內的參演官兵正積極練習。特派記者陳言喬／攝影分享  facebook   大陸十一舉行近年最大一次閱兵，在閱兵村內的三軍儀仗隊參演官兵正積極練習。特派記者陳言喬／攝影分享  facebook   大陸十一舉行近年最大一次閱兵，在閱兵村內的三軍儀仗隊參演官兵正積極練習槍線、胸線的一致。特派記者陳言喬／攝影分享  facebook   大陸十一舉行近年最大一次閱兵，在閱兵村內的三軍儀仗隊參演官兵正積極練習。特派記者陳言喬／攝影分享  facebook   大陸十一舉行近年最大一次閱兵，在閱兵村內的三軍儀仗隊參演官兵正積極練習。圖為男兵練習腳線一致。特派記者陳言喬／攝影分享  facebook   大陸十一舉行近年最大一次閱兵，圖為四年前曾參加「九三抗戰勝利七十年閱兵」的第四中隊長趙穎。特派記者陳言喬／攝影分享  facebook   大陸十一舉行近年最大一次閱兵，在閱兵村內的參演官兵正積極練習。特派記者陳言喬／攝影分享  facebook",2019-09-25,"udn"
"十一倒數7日 香港天天反送中","/news/story/120538/4066719","「十一」將近，中共各項慶祝和宣傳活動陸續登場。圖為在北京的「新中國成立七十周年大型成就展」中，展出中共五代領導人的人像，左起依次為毛澤東、鄧小平、江澤民、胡錦濤、習近平。 （歐新社）分享  facebook   
「十一」倒數七日，反送中抗爭持續的香港，日日有事。對香港官方來說，主要忙三件大事：即首場社區對話、「十一」當天的慶典活動、「十一」後的特首施政報告。反送中民眾則天天有活動，集會、罷課、遊行，要求港府回應五大訴求。
香港特首林鄭月娥廿六日將舉辦首場社區對話，目前有二萬多名市民報名參加，港府以電腦抽籤方式抽出一百五十人參會。稍後亦會隨機抽出一個群組，與政府就特定議題交流。當局說，正考慮未來在網上展開與市民對話。
林鄭月娥說，希望對話可以在和平、理性、冷靜的環境進行，她和司局長會以誠懇謙卑的態度聽意見。她強調不論如何艱難，都會持續以多元方式與社區對話。她承認社會仍有很多不滿，不期望首次對話就有效果，但起碼可坐在一起，為香港找出路。
今年是中共建政七十周年，港府宣布，因應近期社會氣氛，今年「十一」的升旗儀式，移師在室內舉行。而「十一」後將公布特首施政報告，林鄭月娥表示，今年施政報告公布做法會有修訂，有些政策會讓有關局長率先公布，重中之重的土地房屋問題，會在施政報告中交代。
香港政府忙三件事，香港民間則天天都有反送中的行動。廿五日民間呼籲的行動是，全港關注七月廿八日示威活動被捕者在法院提堂。廿六日，在灣仔利東街將有社會福利界組人鏈，以呼應林鄭月娥舉行的首場「社區對話」。廿七日，在中環遮打花園有聲援及關注新屋嶺被捕者的集會。廿八日，民間人權陣線發起金鐘添馬公園「九二八反抗威權、迎接黎明」集會。
九月廿九日下午，在銅鑼灣有民間組織發起「香港反赤納粹集會」，將遊行至政府總部，該活動沒有申請警察的不反對通知書。卅日，將有全港中學生大罷課。十月一日，香港民間人權陣線已向警方申請當日遊行，計畫由維多利亞公園遊行至中環遮打道。有網民稱若民陣遊行不獲批，建議全民自發遊走「大閱兵」。
",2019-09-25,"udn"
"解放軍1,300人聯合軍樂團同步演奏 氣勢驚人","/news/story/7331/4067816","

下周十月一日，中共將舉行近年最大一次閱兵，閱兵指揮部25日上午邀請境外媒體參觀正在參加閱兵訓練的官兵，當中由1千3百人組成的軍樂團，聲勢浩大，現場練習多首曲目，震耳欲聾。
「對習主席負責、聽習主席指揮、讓習主席放心」，醒目的標語放在北京昌平南口閱兵村內，代表習近平新時代軍隊的使命任務。
中共中央軍委聯合參謀部作戰局副局長蔡志軍少將24日介紹這次關閱兵活動安排時說，這次閱兵編59個方（梯）隊和聯合軍樂團，總規模約1.5萬人，是近幾次閱兵中規模最大的一次。當中的聯合軍樂團以解放軍軍樂團為主，從全軍抽組1300多人組成。
解放軍聯合軍樂團在閱兵進行式中是最早進場、最後退場的方隊，同時他們將在全程80分鐘的閱兵過程中演奏50首曲子，任務繁重。
25日上午在南口閱兵訓練基地內，聯合軍樂團在各境外媒體前演練五首曲子，從閱兵前到進行到結束，他們必須久站，許多過重的樂器身旁都放著腳架協助軍樂隊能順利吹奏。另外，由於隊伍過長，除聯合樂隊的總指揮外，陸海空每個樂隊之前還有副指揮，在愈外側的隊員必須用眼角餘光或不時以斜眼注視指揮的動作。
這次閱兵的1千3百人聯合軍樂團也破了紀錄，從現場聽到多首震撼的樂曲，氣勢頗為驚人，屆時軍樂團將帶動現場觀眾更熱烈的氣氛。中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook   中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook   中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook   中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook   中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook   中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook   中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook   中共將在十月一日舉行近年最大一次閱兵，當中由1千3百人組成的軍樂團是歷年最大的軍樂隊，現場演練多首震撼的樂曲，氣勢驚人。特派記者陳言喬／攝影分享  facebook",2019-09-25,"udn"
"「十一」閱兵史上最大規模 陸：沒有要「秀肌肉」","/news/story/7331/4066720","「新中國成立七十周年大型成就展」在北京展出，圖為民眾在拍攝展覽中的大陸航母遼寧艦模型。 (路透)分享  facebook   
中共十月一日將舉行建政七十年閱兵，閱兵領導小組昨在北京宣布，這次閱兵編五十九個方（梯）隊和聯合軍樂團，總規模約一萬五千人，各型飛機一百六十多架、裝備五百八十台套，是近幾次閱兵中規模最大的一次。
對照二○一五年九月的抗戰勝利七十年閱兵的總規模一萬人，五十個方（梯）隊，各型飛機一百餘架來看，今年的閱兵應更有看頭。
閱兵領導小組辦公室副主任蔡志軍表示，今年閱兵活動按閱兵式、分列式兩個步驟進行，時長約八十分鐘。安排陸軍、海軍、空軍、火箭軍和戰略支援部隊部分新型武器裝備受閱。是繼朱日和沙場閱兵和海上閱兵後，首次亮相的新型武器裝備比重較高。
他說，絕大部分方隊編設將軍領隊，將軍人數超過以往，是歷史上高級指揮員受閱數量最多的一次。
閱兵聯合指揮部辦公室常務副主任譚民補充，這次首度在女兵徒步方隊安排兩名女將軍擔任領隊。徒步方隊隊員上，男性身高在一七五至一八五公分之間；女性身高在一六三至一七五公分之間。年紀廿歲左右的青年官兵，也有六十多歲的高級指揮員。
大陸國防部發言人吳謙對媒體問及新型武器亮相是釋出什麼政治軍事信號時回應，總有些人或勢力喜歡炒作中國軍隊發展壯大：如果中國軍隊展示武器裝備就是「秀肌肉」，如果不展示就是「不透明」。他說，中國既沒有意圖，更沒有必要通過閱兵來「秀肌肉」。
",2019-09-25,"udn"
"中國十一大閱兵 東風41亮相？軍方： 不會讓人失望","/news/story/7331/4067507","

來源：YouTube

中共建政70周年十一兵活動安排出爐，總規模約1.5萬人，全程80分鐘、飛機160架，為歷次兵中規模最大的一次。軍方表示，這次內含陸、海、空、火箭軍和戰略支援部隊的部分新型裝備。其中，首次亮相的裝備比重較高，並首次安排女將軍受閱。被視為「制美利器」的東風41型洲際彈道飛彈是否亮相，解放軍中部戰區副參謀長譚民語帶暗示說，「相信不會讓記者朋友們失望」。
東風41料列陣…兵創紀錄 (視頻截圖)分享  facebook   
國防部發言人吳謙對媒體問及新型武器亮相是釋出什麼政治軍事信號時回應，總有些人或勢力喜歡炒作中國軍隊發展壯大，如果中國軍隊展示武器裝備就是「秀肌肉」，如果不展示就是「不透明」。他說，中國既沒有意圖，更沒有必要通過閱兵來「秀肌肉」。

中新網報導，兵領導小組辦公室副主任、中央軍委聯合參謀部作戰局副局長蔡志軍表示，兵式，受部隊在長安街列陣，接受國家主席習近平的檢。分列式，依次按空中護旗梯隊、徒步方隊、裝備方隊、空中梯隊的順序通過天安門廣場。
東風41料列陣…兵創紀錄 (取材財微博)分享  facebook   
他說，絕大部分方隊編設將軍領隊，將軍人數超過以往，是歷史上高級指揮員受閱數量最多的一次。

蔡志軍指出，這次閱兵也是中國國防和軍隊建設的最新成就集中體現，安排陸軍、海軍、空軍、火箭軍和戰略支援部隊部分新型武器裝備受，集中展示70年來國防科技工業發展水平和軍隊建設巨大變化，繼朱日和沙場兵和海上專項兵後，首次亮相的新型武器裝備比重較高。
分享  facebook   
閱兵聯合指揮部辦公室常務副主任譚民補充，這次首度在女兵徒步方隊安排兩名女將軍擔任領隊。徒步方隊隊員上，男性身高在175至185公分之間；女性身高在163至175公分之間。年紀20歲左右的青年官兵，也有60多歲的高級指揮員。",2019-09-25,"udn"
