"title","link","text"
"山竹今最靠近台灣！東半部雨勢漸增 中部恐飆38度","/news/story/12494/3368757","強颱山竹今日上午5時中心位置在鵝鑾鼻南方約440公里。圖／翻攝自中央氣象局網站分享  facebook   

中央氣象局表示，強颱山竹今天最靠近台灣，受到外圍環流影響，東半部雨勢明顯，氣象局對4縣市發布豪大雨特報，並對全台13縣市發布陸上強風特報，花東今天中部以北、花東、恆春半島跟外島將出現9至11級強陣風，蘭嶼已出現12級強陣風。
氣象局最新資料，強颱山竹今天上午5時中心位置在鵝鑾鼻南方約440公里，以每小時27公里速度，向西北西進行。中心氣壓905百帕，近中心最大風速每秒58公尺（約每小時209公里），相當於 17 級風，瞬間最大陣風每秒73公尺（約每小時263公里），相當於17級風以上，七級風暴風半徑320公里，十級風暴風半徑120公里。
氣象局預報員吳依帆表示，山竹今天凌晨2時30分登陸菲律賓呂宋島北部，登陸前近中心最大風速增強到每秒60公尺，登陸後稍微降到每秒58公尺，暴風圈半徑也有減小趨勢。
吳依帆說，台灣受到山竹外圍環流影響，東半部雨勢明顯，氣象局今天對花蓮、台東、宜蘭跟屏東山區發布豪大雨特報，但雨勢最大要等到今天入夜到明天上半天，
有地方出現強陣風，恆春10級、富貴角10級、蘭嶼12級、大武跟澎湖9級，預計今天中部以北、花東、恆春半島跟外島有9到11級強陣風，下午起高屏沿海也有9到10級強陣風，大台北8級。
吳依帆說，台東已出現8米高長浪，鵝鑾鼻、蘭嶼6米長浪，西半部今有焚風機率，苗栗到彰化地區將有37、38度高溫出現機率。 中央氣象局發布豪大雨特報。圖／翻攝自中央氣象局網站分享  facebook   "
"強颱山竹凌晨侵襲呂宋島 鄭明典：幾乎以巔峰強度登陸","/news/story/12494/3368761","強颱山竹凌晨登陸菲律賓呂宋島。 圖／擷取自鄭明典臉書分享  facebook   
強颱山竹中心已於今天凌晨2時30分前後登陸菲律賓呂宋島，中央氣象局副局長鄭明典在臉書表示，山竹颱風幾乎是以巔峰的強度登陸呂宋島北端。
氣象局表示，目前山竹中心在呂宋島北部，受地形影響，過去3小時此颱風強度稍減弱，預測向西北西移動，對巴士海峽、東沙島海面、台灣東南部海面及臺灣海峽南部構成威脅。預計此颱風強度未來有持續減弱，暴風範圍亦有稍縮小的趨勢。颱風外圍環流影響，對台灣影響逐漸增強中。強颱山竹目前位置在鵝鑾鼻的南方約440公里之處，以每小時27公里速度，向西北西進行。近中心最大風速每秒58 公尺，七級風暴風半徑320公里，十級風暴風半徑120公里。中央氣象局今日凌晨2時山竹路徑潛勢預測圖。圖／翻攝自中央氣象局網站分享  facebook   "
"颱風外圍發威 早上滔天巨浪下午龍捲風肆虐","/news/story/12494/3369502","颱風山竹外圍環流15日影響台灣東部地區，台東尚武漁港傍晚更出現龍捲風，多艘膠筏被橫掃吹上岸，漁港物品散落滿地，現場一片狼藉。（海巡提供） 中央社分享  facebook   
山竹颱風外圍環流在台東海域掀起滔天巨浪，多處海水倒灌，台東市湧泉公園淹水；傍晚尚武魚港邊出現龍捲風肆虐，將膠筏吹上岸；東海岸成功鎮海面則是出現水龍捲。
台東昨天晚上開始下雨，雖然風勢不大，但海面掀起超過5、6公尺高的大浪，打在富岡港防波堤和消波塊上，激起20公尺高浪花。
早上一個大浪打上台東市海濱公園國際地標，一民眾被浪追著跑，險象環生；海濱公園旁的台東市湧泉運動公園，因無法排水，一樓淹水。富岡港連外道路，也因海水倒灌，大浪將滿砂石和漂流木打上路面。
除了多處海水倒灌外，尚武漁港內一艘舢舨船底可能遭到漂流木撞擊破底，船尾進水下沉。
午後雖然雨勢減緩，海面風浪轉弱，但在尚武漁港出現龍捲風，沿著漁港出上岸，多艘膠筏早上躲過大浪，卻被龍捲風橫掃吹上岸，漁港物品散落滿地，，有多處民宅屋頂受損；另外，東海岸的成功鎮外海也被民眾拍到海面上水龍捲畫面。台東地區15日受到颱風山竹外圍環流影響，上午沿海掀巨浪港，傍晚在尚武漁港更出現龍捲風，多艘膠筏被吹翻，漁港內一片狼藉。（海巡提供） 中央社分享  facebook   "
"「山竹」雨炸花東、南台 今晚可望解海警","/news/story/12494/3368609","昨天天氣晴朗炎熱穩定，藍天白雲透過玻璃帷幕映照在大樓地板上，形成秋日的特別景色。記者鄭清元／攝影分享  facebook   
中央氣象局持續發布強颱山竹海上颱風警報，氣象局指出，今天花蓮、台東、恆春及屏東山區都有豪雨到大豪雨等級雨勢出現，今晚可望解除海警。但明天仍受外圍環流影響，屏東、恆春半島仍持續將出現大豪雨。
強颱山竹昨晚位在鵝鑾鼻東南方約六二○公里海面上，以每小時卅一公里速度，向西北西進行，近中心最大風速每秒五十八公尺，相當十七級風，瞬間最大陣風每秒七十三公尺，七級風暴風半徑擴大為三二○公里，十級風暴風半徑一二○公里。
分享  facebook   
昨晚受山竹外圍環流影響，氣象局已在蘭嶼觀測到五點三米長浪，氣象局表示，今天台中以北、基隆北海岸、東南部、恆春半島及澎湖、金門、馬祖沿海空曠地區易有九至十一級強陣風，大台北地區也有八級強陣風，下午高雄、屏東沿海地區有九至十級強陣風。
氣象局防災科科長謝明昌表示，山竹颱風通過呂宋島北端後將進入南海，並登陸海南島、香港一帶，預估今天傍晚暴風圈就會脫離台灣海域，就有機會解除颱風警報。
"
"「海嘯級」巨浪襲台東 大武漁船竟被打沉","/news/story/12494/3368871","

「山竹」颱風近逼台灣，外圍環流應響台東地區，不僅風雨增加，海面上更是波濤洶湧，超過5米高的巨浪，直接打上岸，今天早上富岡漁港外環道路一處被浪沖擊，石塊打到路面，一輛休旅車還遭波及受損；而南迴公路多處路段也是浪濤打上路面，馬路上布滿沙石，大武漁港港區內甚至出現「湧浪」，一艘漁船經不起強大撞擊，船身破裂半沉沒，漁民看了說：「這已經海嘯等級了」。
「太可怕了!很少見到港內出現湧浪。」林姓漁民說，這個颱風(山竹)真的很強，沒有直撲台灣，海浪威力就這麼大，實在難想像登陸台灣的情況，可能是海嘯等級了吧。
受到山竹外圍環流影響，台東從昨天晚上就風雨增加，海面上浪況更是「狂爆」，隨著颱風靠近台灣，今天一早6點多海上超過5米高的巨浪直接打上岸，沿海地區都遭浪擊，包括海濱公園、國際地標、南迴公路及富岡、大武漁港等，所幸都沒有造成人員傷亡。
富岡漁港外環道路一處轉彎處直接被浪大上來，夾帶的石頭還擊中一輛停放的休旅車尾，馬路隨即封畢管制；而在南迴大武漁港，因港區內出現湧浪，一艘「阿甘號」漁船經不起強烈撞擊，船身破裂半沉。山竹颱風過境，台東大武漁港港區內出現湧浪，浪擊港邊堤防掀起水柱狀浪花。記者尤聰光/攝影分享  facebook   停放大武漁港港區內的「阿甘號」漁船，經不起撞擊，船身破裂半沉。記者尤聰光/攝影分享  facebook   富岡漁港外環道路一處轉彎處直接被浪大上來，夾帶的石頭還擊中一輛停放的休旅車尾，馬路隨即封畢管制。記者尤聰光/攝影分享  facebook   "
"山竹減弱為中颱 東半部、南部持續發布豪雨特報","/news/story/7266/3369013","
中央氣象局簡任技正伍婉華。記者吳姿賢／攝影分享  facebook   中央氣象局表示，強烈颱風山竹颱風受到菲律賓呂宋島地形破壞，已減弱為中度颱風，持續往西北西方向移動，氣象局持續發布海警，提醒巴士海峽、東沙島海面、台灣東南部海面、台灣海峽南部海面將受到颱風威脅。
氣象局最新資料，中颱山竹今天上午11時中心位置在鵝鑾鼻南南西方約 420公里之海面上，以每小時25公里速度向西北西進行。近中心最大風速每秒48公尺（約每小時173公里），相當於15級風，瞬間最大陣風每秒58公尺（約每小時209公里），相當於17級風，七級風暴風半徑300公里，十級風暴風半徑120公里。
氣象局簡任技正伍婉華表示，山竹上午9時從呂宋島進入南海，受到呂宋島地形破壞，近中心最大風速已從每秒51公尺減弱為每秒48公尺，颱風強度從強颱變成中颱，但山竹環流型態相當顯著，七級風暴風半徑仍維持300公里。
伍婉華說，氣象局持續發布海上警報，山竹未來往西北西移動，影響巴士海峽、東沙島海面、台灣東南部海面、台灣海峽南部。目前海面風力沿海陣風增強，蘭嶼觀測到12米長浪，南部有6米長浪，東北部跟東北部海面浪高增高為5米，其他地區也有3到4米。
強陣風部分，蘭嶼12級，恆春10級，彭佳嶼、金門、澎湖、新竹、大武9級，日月潭8級，伍婉華提醒，海面及沿海風力顯著，提醒民眾不要從事海邊或海面作業活動。
伍婉華說，颱風將於明天離開台灣，東半部今天會持續下雨，颱風環流最強對流早上突過屏東時，時雨量達到60毫米，伴隨閃電雷擊，氣象局發布豪雨特報，新北山區、宜蘭山區、花蓮、台東、恆春半島、屏東地區、高雄山區、南投山區有局部豪雨，台東山區、屏東山區、局部性大豪雨，宜蘭平地、桃園山區局部性大雨。"
"開車驚見巨型公鹿 網友嚇壞「根本是恐龍」","/news/story/7470/3369309","網友在阿拉斯加公路上驚見巨型「駝鹿」。圖／截自YouTube分享  facebook   
有網友開車行駛在阿拉斯加公路上時，恰巧遇到馬路中間有一龐然大物，仔細看原來是「駝鹿」，體型之大幾乎是一台休旅車的兩倍，讓拍攝的駕駛驚呼連連，甚至連對向車道的車輛也為了紀錄奇景而倒車拍攝。

一名外國網友在YouTube上傳一支短片，從影片可以看到駕駛正行駛在公路上時，馬路中間的分隔島上竟然走著一隻巨大的鹿，駕駛驚呼「真的好大」，這隻鹿加上鹿角，幾乎是一旁休旅車的兩倍之大，特殊景況吸引對向車道車輛倒車拍攝。

這隻巨型鹿是駝鹿，為世界上最大的鹿科動物，由於其肩膀高於臀部，與駱駝相似，才會取名駝鹿。從其鹿角可以判斷應為公鹿，駝鹿在加拿大、阿拉斯加一帶的森林十分常見，一般出沒在北半球溫帶至亞北極氣候的針葉林與混交林，除分佈在新英格蘭多數地區、落磯山脈、明尼蘇達州東北部、密西根上半島、蘇必略湖的皇家島、科羅拉多州，也分佈在中國的大興安嶺與小興安嶺北部。

成年駝鹿平均肩高1.5到1.8公尺，雄性重達380到535公斤、雌性重達270到360公斤，雖然駝鹿為草食動物、性情溫和，但在受到驚嚇或刺激時，會有攻擊或防衛的行為，務必小心。

許多網友看了影片紛紛大呼不可置信，留言「未免也太大」、「這有一層樓高吧」、「根本是恐龍，侏羅紀公園跑出來的吧」。


"
"山竹達顛峰 吳德榮：再度超越今年最強紀錄","/news/story/12494/3368758","中央大學大氣科學系兼任副教授吳德榮在「三立準氣象·老大洩天機」專欄指出，今天受山竹颱風外圍環流影響，北部山區、東半部及屏東(山區)迎風面氣流被抬升、有大量降雨，應注意防範，部分降雨擴及西半部山區。
他說，至於西半部平地在背風面，因氣流沉降、水氣變乾、影響很輕微，偶有越山的中、高雲，帶來零星短暫降雨；台南以北至新竹局部地區，還有焚風發生的機率。
另外，要注意的是，台灣沿海風力較強，大台北因偏東風，也有較強陣風。明天轉東南風，較大降雨轉往迎風面的台東、花蓮及高屏山區；應持續注意。下周一天氣好轉、午後雨，下周二至周五晴朗炎熱山區午後雷陣雨。
他指出，氣象局今凌晨定山竹中心平均風速60公尺/秒，又再超過其所定今年的最強紀錄；美國同時卻只定145浬/時，已不及其最強時(155浬/時)；日本則定110浬/時，仍平其今年紀錄；可見颱風的強度估計由於主觀因素，各國既無法同步、也不相同。
強颱山竹已於今晨2、3時之間在呂宋島北部登陸，受地形破壞，強度將減弱，但進入南海後會再重組，仍維持比較強的強度；氣象局今天凌晨2時路徑潛勢預測圖顯示，山竹周日通過廣東海面，颱風中心雖離港澳有段距離，但暴風圈仍會影響到；若有相關行程，要注意安全、也要注意航班是否受到影響。 強颱山竹已在呂宋島北部登陸。圖／翻攝自氣象局網站分享  facebook   強颱山竹今天最靠近台灣，受到外圍環流影響，雙北地區今早突出現大風大雨，有家長帶著孩子在騎樓躲雨，風雨太大，家長撐傘幫孩子擋雨。記者鄭清元／攝影分享  facebook   
強颱山竹今天最靠近台灣，受到外圍環流影響，雙北地區今早突出現大風大雨，有民眾來不及穿上雨衣，在雨中通勤。記者鄭清元／攝影分享  facebook   
"
"氣象局：外圍環流一波波移進 東半部雨勢將愈來愈大","/news/story/12494/3368802","

強烈颱風山竹今天離台灣最近，中央氣象局表示，東半部地區已陸續出現降雨，隨著山竹外圍環流一波一波進入台灣，雨勢將愈來愈明顯。另外，海面風浪強勁，台中以北從東邊繞到恆春沿海有9至11級強陣風，高屏沿海9至10級，北部8級，民眾須持續留意。
氣象局最新資料顯示，強颱山竹今日上午8時中心位於鵝鑾鼻南方約420公里，以每小時26公里速度，向西北西進行。中心氣壓925百帕，近中心最大風速每秒51公尺（約每小時184公里），相當於16級風，瞬間最大陣風每秒63公尺（約每小時227公里），相當於17級風以上，七級風暴風半徑300公里，十級風暴風半徑120公里。
氣象局簡任技正伍婉華表示，氣象局持續對山竹發布海上警報，山竹中心今天清晨2時30分於呂宋島登陸，預估將在短時間出海進入南海，山竹強度經過呂宋島時已被破壞，近中心平均風速從每秒58公尺降為每秒51公尺，七級風暴風半徑從320公里降到300公里，海上警報區域為台灣東南部海面、巴士海峽、東沙島海面。
伍婉華表示，在颱風靠近過程中，東南部海面已出現8米浪高，南部6米，北邊到東邊4米，昨晚到今清晨蘭嶼出現11級強陣風，恆春10級，彭佳嶼8級。今天是颱風最接近台灣時候，海面風浪強勁，台中以北從東邊繞到恆春有9至11級強陣風，下午高屏沿海有9到10級強陣風，北部8級。
伍婉華說，陸地天氣受外圍環流影響，凌晨到現在斷斷續續下雨，隨著外圍環流一波一波移進，東半部雨勢將愈來愈明顯。今明兩天台灣附近天氣型態類似，東邊西邊差異很大，東半部、恆春半島、屏東山區整天有雨，今晚到明天白天，花蓮山區、台東山區、屏東山區都發布豪雨特報，新北山區、宜蘭地區、花蓮平地、台東平地、恆春半島、高雄山區則有局部大雨。
伍婉華說，西半部天氣因為中央山脈關係，預估台南、高雄只有一些雨，台南以北到桃園天氣穩定，苗栗、台中、彰化、南投可能出現高溫38度。新竹、雲嘉、台南、高雄、外島金門地區36度以上。中央氣象局簡任技正伍婉華。記者吳姿賢／攝影分享  facebook   強颱山竹今日上午8時中心位於鵝鑾鼻南方約420公里，以每小時26公里速度，向西北西進行。圖／翻攝自中央氣象局網站分享  facebook   "
"影／海巡車「破浪」險遭吞沒 驚險一瞬間讓人冒冷汗","/news/story/12494/3369466","

2年前強颱莫蘭蒂襲台，墾丁消防分隊一輛救護車行經南灣險遭拍打上岸的大浪吞沒的畫面，成為焦點；山竹颱風今天為屏東縣帶來間歇性狂風暴雨，海巡署香蕉灣漁港安檢所一輛巡邏車上午外出巡邏時，突遇大浪沖向岸上，有民眾拍到巡邏車驚險「破浪」的畫面，直呼當時冷汗直冒。
「太恐怖了，真怕車子被大浪吞沒！」拍下驚險「破浪」畫面的民眾說，山竹颱風掀起大浪，長浪推向香蕉灣漁港碼頭，捕捉激起大浪花衝向岸上的畫面，當時有輛海巡巡邏車冒險涉水通過，先閃過一塊大木頭，再閃過漂浮的流動廁所，過了障礙物，又有一波大浪再打上岸，巡邏車險被捲浪帶回港中，為颱風天辛苦出勤的海巡弟兄捏把冷汗。海巡署香蕉灣漁港安檢所一輛巡邏車上午外出巡邏時，突遇大浪沖向岸上，民眾拍到巡邏車驚險「破浪」的畫面。記者潘欣中／翻攝分享  facebook   "
